State,Cases
Andhra Pradesh,231.1666667
Arunachal Pradesh,1.666666667
Assam,413.3333333
Bihar,142.1666667
Chhattisgarh,54
Goa,36.33333333
Gujarat,106.8333333
Haryana,68.5
Himachal Pradesh,8.166666667
Jammu & Kashmir,1
Jharkhand,185.1666667
Karnataka,169
Kerala,112.6666667
Madhya Pradesh,74.83333333
Maharashtra,337.5
Manipur,4.833333333
Meghalaya,13.66666667
Mizoram,2.166666667
Nagaland,1.5
Odisha,97.66666667
Punjab,26.16666667
Rajasthan,370.6666667
Sikkim,1
Tamil Nadu,176.5
Telangana,280.3333333
Tripura,3.666666667
Uttar Pradesh,58
Uttarakhand,19.5
West Bengal,923.6666667
A & N Islands,0.333333333
Chandigarh,3
DNH  and  Daman & Diu,2.166666667
Delhi UT,82
Lakshadweep,0
Puducherry,1.333333333
